country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Niger,125,4.152,3.798088312,6.759936333,0.700107575,49.29681778,0.734430909,-0.04501057,0.777340889,0.602544665,0.141553044,0.534528375,-0.716379225,-0.641673386,1.313709259,0.345886976,,0.368,0.506254792
Sri Lanka,126,4.151,4.224593163,9.208340645,0.824357271,64.58774567,0.800397217,0.153034613,0.822879076,0.863880336,0.196870834,0.777017355,-0.646179259,-0.16979301,1.813476205,0.429266483,0.392,0.39225,0.378927261
Gabon,127,4.114,3.97205925,9.690262794,0.736096144,54.93886566,0.565965831,-0.215515137,0.810119689,0.469998509,0.265743077,0.364717662,-0.285157621,-0.666392565,2.019146442,0.508337438,,0.422,0.607343555
Malawi,128,4.113,4.279269695,6.946744442,0.603725672,50.69045258,0.637362719,0.165935576,0.885784984,0.815616429,0.200462923,0.471810192,-0.104385272,-0.468000472,2.840632677,0.663812518,,0.43,0.664306819
Cambodia,129,4.067,3.898706913,7.939874172,0.605528593,57.04125977,0.955595791,0.247116447,0.890136123,0.820461333,0.351858586,0.82517308,-0.53252852,-0.801751435,1.701752067,0.4364914,,,0.66283375
Chad,130,4.056,4.03297472,7.582166672,0.672866464,44.23704529,0.562908113,-0.044328865,0.884475827,0.526546359,0.315747142,0.30277133,-1.19343245,-1.335223913,1.579964519,0.391761571,,0.4155,0.54660511
Yemen,131,4.054,4.060600758,8.241021156,0.681678295,54.02817154,0.705815315,-0.177809879,0.793232739,0.501775622,0.262816578,0.598434687,-1.892754555,-1.119487524,2.228804588,0.548885405,,0.357,0.415891558
Afghanistan,132,4.04,3.782937527,7.517126083,0.520636737,50.70926285,0.530935049,0.247159243,0.775619805,0.710384727,0.267919123,0.435440153,-1.842995763,-1.40407753,1.798283219,0.47536689,,,0.344539613
Bulgaria,133,3.981,4.222297192,9.665990829,0.837966621,66.28061676,0.641256452,-0.177450985,0.938208699,0.573091209,0.236632824,0.342922807,0.39037478,0.098021008,2.167435169,0.513330817,0.36,0.354666667,0.394633353
Botswana,134,3.97,4.835938931,9.564126015,0.836743116,53.29683685,0.799410224,-0.212750569,0.814422846,0.773363888,0.171257362,0.662237763,0.818505585,0.672325492,1.992194295,0.411956042,,0.626,0.581453145
Madagascar,135,3.966,3.550609589,7.223259449,0.673088312,55.21408844,0.487007886,-0.047277849,0.853590488,0.689855695,0.193977416,0.350055397,-0.709703803,-0.805914879,1.54313612,0.434611589,0.427,0.431,0.536564231
Senegal,136,3.959,3.668736935,7.690368176,0.711077392,56.10480118,0.668252289,-0.022164073,0.851879895,0.770918489,0.213602841,0.645107508,-0.056255583,-0.272712827,1.70377624,0.464404047,,0.402333333,0.452468991
Syria,137,3.892,3.164491177,8.609065056,0.588395178,61.47408295,0.466770619,0.30370754,0.672964215,0.464438587,0.704589665,,-2.26324749,-1.25451839,2.508209467,0.792610645,,0.358,0.458946973
Comoros,138,3.851,3.955640316,7.259981155,0.719217897,53.49705887,0.534040928,-0.069552734,0.651009262,0.612241328,0.211843818,0.464862645,-0.459228456,-1.185267329,1.385449886,0.350246668,,0.5045,0.42886439
Guinea,139,3.847,3.651554823,7.429011345,0.542295277,48.79819107,0.646187842,0.011558649,0.794450223,0.677212596,0.284573376,0.557172477,-1.150450587,-1.184596658,1.659664035,0.454508871,0.337,0.387,0.504480302
Tanzania,140,3.77,4.006897449,7.708782673,0.832056403,53.2678566,0.577453315,0.206547231,0.886997938,0.678828418,0.195307106,0.414645106,-0.062279701,-0.592591941,1.915126324,0.477957398,,0.384666667,0.538572907
Rwanda,141,3.715,3.333047867,7.318346977,0.637147248,54.86077881,0.835491359,-0.005128154,0.081324898,0.702794313,0.132398143,,-0.754135847,0.034555562,1.542425513,0.462767273,,0.5055,0.61665076
Benin,142,3.528,3.193468809,7.526094437,0.523027301,50.67614746,0.768971086,-0.085358299,0.805977643,0.5825243,0.230664536,0.582080483,0.244426534,-0.584024131,1.640371084,0.513664365,,0.432666667,0.495051146
